"Follow @NotMrTibbs",,"Public Ballots:",,192,,,Plus,7,,"% of Ballots Known:",,45.7%,,,Votes per Revealed Ballot:,,,8.66,"1,723.00",,,,,,,,,,,,,,,,"_Click toExpand/Retract",LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Anonymous Ballots",,,"Estimated Ballots Cast: 435Estimated Votes Needed for 75%: 327",,,,,Votes per Non-Public Ballot:,,,7.06,7.06,,,,,,,,,,,,,,,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Cafardo,x,x,x,,x,x,,,x,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,10,Boston Globe,1/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Call,x,,,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,8,Email ,12/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Campbell ,x,x,x,x,x,,,,x,,x,,x,,,x,,,x,,,,,,,,,,,,,,,,10,Email ,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Canzano,x,x,x,,x,,x,x,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,10,Twitter,1/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schilling ,,
Pat Caputo ,x,x,x,,,x,,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,9,Oakland Press,12/2/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray Chass (blank ballot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,MurrayChass.com,1/8/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell Cohn,x,,,,x,x,x,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,7,Santa Rosa PD,11/23/16,,0,0,0,0,0,0,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Colon,x,x,x,x,x,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,,,10,Tiempo Extra,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Cooney,x,x,x,x,x,,,,x,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,10,Twitter,12/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar, Pudge",,
Brian Costello ,x,x,x,x,x,,,,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Cote,x,x,x,x,x,,x,,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,10,Miami Herald Blog,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Cowlishaw ,x,x,x,x,,x,x,,,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Crasnick,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Curry,x,,,x,x,,x,,x,,x,,x,x,,,,x,x,,,,,,,,,,,,,,,,10,Twitter,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom D'Angelo,x,x,x,x,x,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,DM,12/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Daugherty,x,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,4,Twitter,1/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shi Davidi ,,x,x,x,x,x,,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,TV: Sportsner CA,1/11/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Davidson,x,,,,x,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,5,Twitter,1/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Delcos,x,,,,x,,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,7,New York Mets Report,1/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris De Luca,x,x,x,x,x,,x,,,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Dienhart,x,x,x,,x,,x,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,10,Email ,12/8/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Dilbeck (hadn't voted in at least 2 years) ,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,3,Twitter,1/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Doyle,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Dubow,x,x,x,,,,x,,x,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/3/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Dunn,x,,,x,x,,,x,,x,x,,x,x,,x,,,,,,,,,,,,,,,,,x,,10,Trentonian,12/14/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar, Mussina, Walker",,
Jorge Ebro,x,,,x,x,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,6,Email,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Fagan,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Sporting News,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,
Mark Faller,x,,,x,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,7,AZ Central,12/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Fay,x,x,x,,x,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,WCPO.com,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Feinsand,x,x,x,x,,,,x,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,10,Facebook,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker, Edgar, Schilling, Wagner, Hoffman, Kent",,
Jeffrey Flanagan,x,x,x,x,x,,x,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,10,DM,12/21/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Fletcher ,x,x,x,x,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Frias,x,x,x,x,x,,,,x,,x,,x,x,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/22/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Gammons,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Gammons Daily,1/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McGriff, Wagner, Walker",,
Steven Geitschier,x,,,x,x,x,x,x,x,,x,,x,,,,,x,,,,,,,,,,,,,,,,,10,Email,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Gelston,x,x,x,x,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,7,Twitter,1/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Golen,x,,,,x,,x,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,6,DM,12/20/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Goold ,x,,,x,x,,x,,x,,x,,x,x,,x,,,x,,,,,,,,,,,,,,,,10,StL Post Dispatch,1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bonds, Clemens ",,
