,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,"Nomar Garcia-parra",Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,"Will no longer reveal ballots:Bob Smizik, Patrick Reusse (?), Mike Downey, Gene Collier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voters who shared ballots, but aren't on BBWAA's list of received/counted ballots: Steve SerbyJohn Lopez",,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public Ballots,,0.00%,60.73%,85.80%,39.27%,0.30%,0.00%,39.27%,2.11%,0.00%,0.00%,0.00%,2.42%,0.00%,0.30%,0.00%,99.09%,13.90%,27.49%,98.19%,6.65%,12.69%,9.37%,0.00%,30.21%,0.30%,75.23%,60.12%,45.62%,0.00%,10.27%,25.08%,87.92%,5.14%,25.08%,8.76%,"4,623.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom D'Angelo,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,8,http://bit.ly/1w9eJoB,12/20/14,,0,0,13,13,9,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,68,100,23,19,15,15,9,7,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Miami,
Paul Daugherty,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,8,http://cin.ci/1IlcCF9,1/6/15,,0,0,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70,88,23,19,0,15,9,7,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Cincinnati ,
Shi Davidi,,,,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,,1,,,,,1,,1,1,10,http://bit.ly/1KhY6lx,1/6/15,,13,13,13,13,0,0,9,7,0,0,7,7,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,96,23,19,15,15,0,7,7,0,5,5,0,0,3,0,2,0,2,0,0,0,0,0,0,Toronto,
Ken Davidoff,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,,,1,1,10,http://bit.ly/1xER0UL,1/3/15,,13,13,13,13,9,9,0,7,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,76,23,19,0,0,9,7,0,5,5,5,0,0,3,3,0,0,2,0,0,0,0,0,0,New York,
John Delcos,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,1,1,,,,10,http://bit.ly/1BfNVHB,12/27/14,,0,0,13,13,9,9,9,0,0,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,98,23,19,15,15,9,7,7,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,New York,
Chris De Luca,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,1,,,8,http://bit.ly/1rhJvQs,12/24/14,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,73,92,23,19,15,15,9,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Chicago,
Tony DeMarco,,,,1,,,,,,,,,,,,,1,1,,1,,,,,1,,,1,1,,,1,1,,1,,10,http://bit.ly/1HGgH8w,1/6/15,,0,0,13,13,0,0,9,7,7,7,7,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,90,23,19,15,15,0,0,7,5,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,Arizona,
Paul Doyle,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/14dZl47,1/5/15,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,
Josh Dubow,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1zmTrGo,12/26/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Jay Dunn,,,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,1,,1,,1,1,1,,,,10,http://bit.ly/1vlodg4,12/3/14,,0,0,13,13,9,0,0,0,7,0,7,7,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,96,23,19,15,15,9,7,0,5,0,0,3,0,0,0,0,2,0,2,0,0,0,1,0,New York,
Mike Dyer,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,1,1,1,10,http://imgur.com/gULiDdy,11/25/14,,13,13,13,13,9,9,9,7,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,78,23,19,0,0,9,7,7,0,5,5,0,0,3,0,0,0,2,0,0,0,1,0,0,New York,
Jorge Ebro,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,5,Via email,12/25/14,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,88,23,19,15,15,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami,
Gordon Edes,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,,,,,10,http://bit.ly/1JVdZ0R,12/27/14,,13,13,13,13,9,9,9,0,7,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,88,23,19,0,15,9,0,7,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,Boston,
Chris Elsberry,,,1,1,,,,,,,,,,,,,1,,1,,1,1,1,,,,1,1,,,,1,,,,,10,Facebook,1/6/15,,0,0,13,0,9,9,9,0,0,0,0,7,0,4,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,69,23,0,0,15,9,7,7,0,0,0,3,3,0,0,0,2,0,0,1,1,0,0,0,New York,
Mark Faller,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/16EIDMT,12/20/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Arizona,
Jeffrey Flanagan,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,,,,1,1,1,,,10,http://bit.ly/1xck4j0,12/24/14,,13,13,13,13,9,0,9,0,0,0,7,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,90,23,19,15,0,9,7,7,0,5,5,3,0,0,0,0,0,0,0,1,0,1,0,0,Kansas City,
Jeff Fletcher,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,1,,1,,,,10,http://bit.ly/1yvHP8X,1/6/15,,13,13,13,13,9,9,9,0,7,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,90,23,19,15,0,9,7,7,5,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,LA-Anaheim,
Carlos Frias,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,8,http://bit.ly/1JQEWTn,12/24/14,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,67,98,23,19,15,15,9,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Miami,
Peter Gammons,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1EFgC72,12/30/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,96,23,19,15,15,9,0,7,5,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Boston,
Michael Gee,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1uveuUl,12/12/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,
Dan Gelston,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,9,http://bit.ly/1tDaTEu,1/5/15,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,92,98,23,19,15,15,9,0,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Philadelphia ,
Pedro Gomez,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,1,1,,1,,7,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,0,0,0,7,0,7,7,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,42,75,23,19,15,0,0,7,0,0,0,0,3,0,3,3,0,2,0,0,0,0,0,0,0,Arizona (H),
Mark Gonzales,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,1,,,,8,http://trib.in/1zJsJrv,1/2/15,,0,0,13,13,9,9,9,0,0,0,7,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,85,23,19,15,0,9,7,7,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,Chicago,
Derrick Goold,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,1,10,http://bit.ly/1HbmUZW,12/29/14,,0,0,13,13,9,9,9,0,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,96,23,19,15,15,9,0,7,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,St. Louis,
Rick Gosselin,,,1,1,1,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,1,,1,,9,http://bit.ly/1A84RDh,1/3/15,,13,13,13,0,0,9,9,7,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,78,74,23,0,15,15,0,0,7,0,5,5,0,0,3,0,0,0,0,0,0,1,0,0,0,Dallas,
Evan Grant,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,1,1,10,http://bit.ly/1w401iA / http://bit.ly/1A84RDh,12/18/14,,0,0,13,13,9,9,9,7,0,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,98,23,19,15,15,9,7,7,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,Dallas,
Dan Graziano,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,,,,,1,,1,,7,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,0,0,9,7,0,0,7,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,45,78,23,19,15,0,0,7,7,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,New York/ESPN,
Jerry Green,,,,1,,,,1,,,,,,,,,1,,1,1,,,1,,,,1,1,,,1,,,,1,,10,http://bit.ly/1vK01oi,1/3/15,,0,13,13,13,9,0,9,7,0,0,0,7,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,84,23,19,0,15,9,0,7,0,5,0,0,3,3,0,0,0,0,2,1,0,0,0,0,Detroit (H),
Teddy Greenstein,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,1,1,,,1,1,,,,10,http://trib.in/1zJsJrv,1/2/15,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100,23,19,15,15,9,7,7,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,Chicago,
Alan Greenwood,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1CNgVuu,12/26/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,
Scot Gregor,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,8,http://bit.ly/1Ka22EM,1/3/15,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70,100,23,19,15,15,9,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicago,
Richard Griffin,,,1,1,1,,,1,1,,,,,,,,1,,,1,,,,,,,1,1,,,,,,,,1,10,http://on.thestar.com/1xM2WRi,1/5/15,,13,13,13,13,9,9,9,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,90,23,19,0,15,9,7,7,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0,1,Toronto,
Bill Griffith,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,1,1,,1,,10,Via Email,1/6/15,,0,0,13,13,9,0,9,7,7,7,7,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,88,23,19,15,0,9,7,7,5,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,Boston,
Paul Gutierrez,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,1,1,,,,9,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,64,94,23,19,15,15,9,0,7,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,ESPN,
Joe Haakenson,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/1ALtoe5,12/21/14,,0,0,13,13,9,9,9,7,7,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,100,23,19,15,15,9,7,7,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,LA-Anaheim,
Chris Haft,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,,,,,1,1,,,,8,http://atmlb.com/13UqbxC,1/5/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,57,93,23,19,15,15,9,7,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,SF-Oakland,
Mark Hale,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1CYp0Kf,12/26/14,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,23,19,15,15,9,7,0,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,New York,
John Harper,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,1,,1,,10,http://nydn.us/1AzWRtJ,1/6/15,,0,0,13,13,9,9,9,7,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,New York,
Tom Haudricourt,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1DcWrvy,1/5/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Milwaukee,
Henry Hecht,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,1,,,,1,,1,,8,Via email,12/20/14,,0,0,13,13,0,0,9,7,7,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,77,23,19,15,0,0,0,7,5,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,New York,
Joe Henderson,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,8,http://on.fb.me/1zhe5LJ,12/15/14,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,80,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Tampa,
Mark Herrmann,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,5,http://nwsdy.li/1tDUIqo,1/5/15,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,88,23,19,15,15,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Phil Hersh,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,1,,,,1,1,,,1,10,http://trib.in/1zJsJrv,1/2/15,,0,0,13,13,0,0,9,0,0,7,7,7,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,92,23,19,15,15,0,7,7,0,0,0,3,3,0,3,0,0,2,0,0,1,0,0,0,Chicago,
Bob Hertzel,,,,1,1,,,1,,,,,,,,,1,,,1,1,,,,,,,1,,,,,1,,,,10,http://bit.ly/1rgdNDH,12/19/14,,13,13,13,13,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,96,23,19,15,15,0,7,7,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,Pittsburgh ,
Bob Herzog,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1K4UfZ1,1/1/15,,13,13,13,13,9,0,9,0,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,98,23,19,15,15,9,0,7,0,5,5,0,3,0,3,0,0,0,0,0,0,0,0,0,New York,
Brian Heyman,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,4,http://bit.ly/1DfyaF0,1/6/15,,0,0,13,13,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,6,66,23,19,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Jon Heyman,,,,1,,,,,,,,,,,,,1,,,1,1,1,,,,,,1,1,,,,1,,1,,9,MLB Network,12/29/14,,0,0,13,13,0,0,9,7,7,0,7,7,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,66,94,23,19,15,15,0,7,7,5,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,New York,
Ed Hilt,,,1,1,,,,,,,,,,,,,1,,1,1,,,1,,,,1,1,,,,1,1,,,,10,http://bit.ly/1xzQcPl,1/6/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,98,23,19,15,15,9,7,7,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,New York,
Bob Hohler,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,8,http://bit.ly/13BLqVa,12/23/14,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,70,100,23,19,15,15,9,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,
Sean Horgan,,,,1,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,1,,,,6,http://bit.ly/1HbZtj3,12/29/14,,0,0,13,13,0,0,0,0,0,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,33,84,23,19,15,15,0,7,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,Boston,
Rick Hurd,,,,1,1,,,1,,,,,,,,,1,1,1,1,,,,,,,,1,1,,,,1,,,,10,http://bit.ly/14fAXz1,1/5/15,,13,13,13,13,0,0,9,0,7,0,7,7,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,94,23,19,15,15,0,0,7,5,5,5,0,3,0,0,2,0,0,0,0,0,0,0,0,SF-Oakland,
Mike Imrem,,,1,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,1,,,10,http://bit.ly/1Ka22EM,1/3/15,,13,13,13,13,9,9,0,0,7,0,7,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,82,23,19,15,0,9,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,Chicago,
Jim Ingraham,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,,,1,,1,,,,10,http://bit.ly/1AqHR1h,1/3/15,,0,0,13,13,9,9,9,0,0,7,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,98,23,19,15,15,9,7,7,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,Cleveland,
Jeff Jacobs,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://cour.at/1JAVAGH,12/20/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Boston,
Stephen Jacobson,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,7,Via email,12/20/14,,0,0,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,53,98,23,19,15,15,9,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,New York,
Richard Justice,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,,,1,,,,1,,1,,10,http://atmlb.com/13UqbxC,1/5/15,,13,13,13,13,0,9,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,94,23,19,15,15,0,7,0,5,5,5,0,0,3,3,0,0,0,0,0,0,0,0,0,Houston (H),
Tim Kawakami,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1zkAHXO,12/25/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Tom Keegan,,,,1,1,,,1,,,,,,,,,1,,,1,1,,1,,1,,1,,,,,,1,,,,10,http://bit.ly/1Dtg7IP,1/6/15,,13,13,13,13,9,0,0,0,0,7,7,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,94,23,19,15,15,9,0,0,0,5,5,0,0,0,3,0,0,0,0,1,1,0,0,0,Kansas City,
Kevin Kernan,,,,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,1,,1,,,,9,http://bit.ly/14qEL18,1/5/15,,0,0,13,13,9,0,9,0,0,7,7,7,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,71,98,23,19,15,15,9,7,7,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,New York,
George A. King III,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,,,1,,1,1,,,10,bit.ly/1wS8fuP,1/6/15,,13,13,13,13,9,0,0,0,0,7,7,7,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,94,23,19,15,15,9,0,0,0,5,5,0,0,0,3,0,0,0,2,0,0,1,0,0,New York,
Bob Klapisch,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1v8dhU9,12/19/14,,13,13,13,13,9,9,9,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,0,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,New York,
Fred Klein,,,,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,,1,,,1,1,,1,,10,http://bit.ly/1BrWizY,12/15/14,,0,0,13,13,9,0,0,7,7,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,92,23,19,15,15,9,0,0,5,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,New York,
Michael Knisley,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,,,,1,1,,,,8,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,9,0,0,0,0,0,7,7,0,4,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,52,89,23,19,15,15,9,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,Colorado (H),
