"Follow @NotMrTibbs",,,,"Public Ballots:",,,,306,,,Plus,,,4,,,,"% of Ballots Known:",,70.5%,,,,,Votes per Public Ballot:,,,,,8.23,2550,,,LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Anonymous Ballots",,,,,,,Total Ballots Cast: 440,,,,,,,Votes per Non-Public Ballot:,,,,,7.28,7.276923077,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Flanagan,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,1,,,1,1,,,,,,10,Email,1/2/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,0,0,6,1,0,0,0,96,96,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,,
Carlos Frias,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,1,,,,1,,,,,,9,http://bit.ly/1IV4oo6,12/9/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,0,0,0,1,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Randy Galloway,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,Email,12/29/15,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Peter Gammons,,,1,,,,,,,,1,,,,,,,1,1,,1,1,1,1,,,,,1,,1,,10,http://bit.ly/1PKzE03,1/5/16,,0,13,0,0,0,0,0,19,0,0,0,8,4,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Dan Gelston,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,1,,,,,,,,,8,http://bit.ly/1kFI77A,1/4/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Steven Gietschier,,,1,,,,,,,,1,,,1,,1,,1,1,,1,1,,,,,,,,,,,8,Email,11/29/15,,0,13,0,0,0,0,0,19,13,0,3,8,4,0,8,16,0,0,0,0,0,0,0,0,84,84,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Steven M. Goldman,,,1,,,,,,,,1,,,1,,1,,,,,1,1,1,1,,1,,,1,,,,10,DM,12/21/15,,0,13,0,0,0,0,0,19,13,0,3,0,0,0,8,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Pedro Gomez,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,1,,,1,,,,6,http://es.pn/1OMHFmi,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,0,4,0,8,0,0,0,0,6,0,8,0,0,58,58,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Mark Gonzales,,,1,,,,,,,,1,,,1,,1,,1,,,,1,1,,,,,,,1,,,8,http://trib.in/1R4DSRK,1/1/16,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,0,16,13,0,0,0,0,0,2,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Derrick Goold,,,1,,,,,1,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,1,,10,http://apple.co/1YTHIBl,1/1/16,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis ,,
Evan Grant,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,1,,1,,10,http://bit.ly/1Oy3gij,12/30/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,8,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Dan Graziano,,,,,,,,,,,1,,,1,,1,,1,1,,1,,1,1,,,,,1,1,,,10,http://es.pn/1OMHFmi,1/6/16,,0,0,0,0,0,0,0,19,13,0,3,8,4,0,8,0,13,10,0,0,0,8,2,0,83,83,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Jerry Green,,,1,1,,1,,,,,1,,,,,,,1,,1,,1,1,,1,,,,1,,,,10,http://detne.ws/1mtFAyW,12/19/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,2,0,16,13,0,2,0,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
Jay Greenberg,,,1,,,,,,,,1,,,,,,,1,,,,1,1,1,,1,,,1,,,,8,DM,12/23/15,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,0,16,13,10,0,6,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Alan Greenwood,,,1,1,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,,8,http://bit.ly/1mb468m,12/26/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,0,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Scot Gregor,,,1,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,5,http://bit.ly/1ZuMeDf,12/26/15,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,74,74,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Richard Griffin,,,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,7,http://on.thestar.com/1RqcXhI,1/5/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,3,80,80,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Paul Gutierrez,,,,,,,,,,,1,,,1,,,,1,,,,1,1,,,1,,,,,,,6,http://es.pn/1OMHFmi,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,6,0,0,0,0,75,75,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Joe Haakenson,,,1,,,,,,,,1,,,1,,,,1,1,,,1,1,1,,1,,,1,,,,10,http://bit.ly/1NxcOpZ,12/20/15,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,0,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Chris Haft,,,1,,,,,,,,1,,,1,,1,,,,,,1,1,1,1,1,,,1,,,,10,http://atmlb.com/1kGljoj,1/4/16,,0,13,0,0,0,0,0,19,13,0,3,0,0,0,0,16,13,10,2,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Paul Hagen,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,,,1,,,1,1,,,10,http://atmlb.com/1kGljoj,1/4/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,6,0,8,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,MLB.com,,
Mark Hale,,,1,1,,1,,,,,1,,,,,,,1,,1,1,1,,1,,,,,,,,,9,http://bit.ly/1NnzAkb,12/15/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,2,8,16,0,10,0,0,0,0,0,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
John Harper,,,1,,,,,,,,1,,,,,1,,1,,,,1,1,1,1,,,,1,1,,,10,http://atmlb.com/1PcgM5i,1/4/16,,0,13,0,0,0,0,0,19,0,0,3,8,0,0,0,16,13,10,2,0,0,8,2,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Tom Haudricourt,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://bit.ly/1OkzNmi,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,,
Joe Henderson,,,1,1,,1,,,,,1,,,1,,,,,1,,1,1,1,1,,,,,,,,,10,http://on.fb.me/1O88nDI,12/22/15,,0,13,8,8,0,0,0,19,13,0,0,0,4,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
Mark Herrmann,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,http://nwsdy.li/1OpUPn5,1/1/16,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,35,35,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Bob Hertzel,,,,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,6,Column+clarified@FB,12/13/15,,0,0,8,8,0,0,0,19,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,3,67,67,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,,
Bob Herzog,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,,,,,,,1,,,10,http://bit.ly/1Ph4rzl,12/21/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,0,0,0,0,0,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Jon Heyman,,,,1,,,,,,,1,,,1,,,,,1,,1,,1,1,,,,,1,,,,8,http://cbsprt.co/1VonRoy,12/29/15,,0,0,8,0,0,0,0,19,13,0,0,0,4,0,8,0,13,10,0,0,0,8,0,0,83,83,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Ed Hilt ,,,1,,,,,,,,1,,,1,,,,1,1,,,1,1,,,1,,,,,,,8,DM,12/18/15,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,0,16,13,0,0,6,0,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Bob Hohler,,,1,,,,,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,,6,Email,1/2/16,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,0,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Garry D. Howard,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,1,1,1,,,,,,,10,http://bit.ly/1RT1dWh,12/31/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,10,2,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mike Imrem,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,1,1,,,1,,,,,,10,http://bit.ly/1ZuMeDf,12/26/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,10,0,0,1,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Jeff Jacobs,,,1,,,,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,,,,7,http://cour.at/1TV5jeb,12/18/15,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Stephen Jacobson,,,,,,,,,,,1,,,,,,,1,,,,1,1,,,,,,1,1,,,6,Email,12/11/15,,0,0,0,0,0,0,0,19,0,0,0,8,0,0,0,16,13,0,0,0,0,8,2,0,66,66,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Bruce Jenkins,,,,1,,1,,,,,1,,,1,,,,1,,1,,1,,1,,,1,,,,,,9,http://bit.ly/1RfSOwn,1/5/16,,0,0,8,8,0,0,0,19,13,0,0,8,0,2,0,16,0,10,0,0,1,0,0,0,84,84,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Richard Justice,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,1,1,,,10,http://bit.ly/1RunAkO,12/18/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,8,2,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Houston,,
Tim Kawakami,,,1,1,,1,,,,,1,,,1,,,,,,,1,1,1,1,,,,,1,,,,10,http://bayareane.ws/1OhyiZz,12/28/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Peter Kerasotis,,,,,,,,,,,1,,,1,,1,,,1,,1,,1,1,,,,,1,,,,7,http://on.fb.me/1OxoGG7,12/16/15,,0,0,0,0,0,0,0,19,13,0,3,0,4,0,8,0,13,10,0,0,0,8,0,0,78,78,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Kevin Kernan,,,,,,,,,,,1,,,1,,1,,1,1,,1,1,1,,1,,,,,1,,,10,http://nyp.st/1Sb0EHC,1/6/16,,0,0,0,0,0,0,0,19,13,0,3,8,4,0,8,16,13,0,2,0,0,0,2,0,84,84,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
George A. King III,,,,1,,1,,,,,1,,,1,,,,,,1,1,1,,,1,,1,,,,,,9,http://nyp.st/1Sb0EHC,1/6/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,8,16,0,0,2,0,1,0,0,0,76,76,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Bob Klapisch,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://bit.ly/1ZGNq6B,1/2/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Danny Knobler,,,,1,,1,,,,,1,,,1,,,,,,1,,1,1,1,,,,,1,,,,9,http://ble.ac/1R0px8G,12/31/15,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,At-Large,,
Dejan Kovavecic,,,1,,,,,1,,,1,,,1,,,,,,,1,1,1,1,,,,,,,,,8,http://bit.ly/1kKvV5D,1/5/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,,
Mark Kreidler ,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,3,DM,12/22/15,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,45,45,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Dave Krieger,,,1,,,,,,,,1,,,,,,,1,,,1,1,1,1,1,,,,1,,1,,10,http://bit.ly/1R66OIM,1/3/15,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,13,10,2,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Colorado ,,
Roch Kubatko,,,1,,,,,,,,1,,,1,,,,1,1,,1,1,1,,,1,,,1,,,,10,http://bit.ly/1ZkQKaN,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,8,16,13,0,0,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Tim Kurkjian,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Gabe Lacques,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,,1,,,,1,,1,,10,http://bit.ly/1T77pr8,12/18/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,2,0,0,8,0,3,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Marc Lancaster,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,1,,,,,1,,,,10,http://bit.ly/1RmKwlP,12/15/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Scott Lauber,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,1,,,10,http://bit.ly/1P2uDLA,12/31/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,2,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Mike Lefkow,,,1,1,,1,,,,,1,,,1,,1,,,,1,,1,1,,,1,,,,,,,10,http://bit.ly/1P06EMO,1/5/16,,0,13,8,8,0,0,0,19,13,0,3,0,0,2,0,16,13,0,0,6,0,0,0,0,96,96,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
David Lennon ,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://bit.ly/22lGGxh,12/21/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Bernie Lincicome,,,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,1,,,,,,7,http://trib.in/1In7xwK,11/27/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,0,16,13,0,0,0,1,0,0,0,78,78,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Thom Loverro,,,1,,,,,,,,1,,,1,,,,1,1,,1,1,,1,,,,,1,,,,9,http://bit.ly/1Mi6DWk,11/16/15,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,8,16,0,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Rob Maaddi,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,,1,1,,1,,,,,,10,http://bit.ly/1IMVCyd,1/4/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,0,10,2,0,1,0,0,0,89,89,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Dennis Maffezzoli,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,,,,,10,http://bit.ly/1IXnMGM,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Magruder,,,1,1,,1,,,,,1,,,1,,,,,,,,1,1,,,,,,1,,1,,9,http://bit.ly/1Z6x05g,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,0,0,8,0,3,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Manoloff,,,1,,,,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,8,http://bit.ly/1mDdv8O,1/6/16,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Marcus,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,http://nwsdy.li/1Rf9xOv,1/1/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Tony Massarotti ,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,4,http://cbsloc.al/1ZV6xdj,,,0,0,8,8,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,43,43,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Wallace Matthews (did not vote last yr),,,1,,,,,1,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,1,,10,http://es.pn/1OMHFmi,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Sean McAdam (did not vote last yr),,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,http://bit.ly/1RgyRW4,1/6/16,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,42,42,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Jack McCaffery (wrote in Pete Rose),,,1,1,,1,,,,,1,,,1,,,,,,1,,1,,,,1,,,1,,,,9,http://bit.ly/1Z2d6dy,12/10/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,0,0,0,6,0,8,0,0,91,91,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Anthony McCarron,,,1,1,,1,,,,,1,,,,,1,,1,,,1,1,1,1,,,,,,,,,10,http://nydn.us/1OLGvHI,1/5/16,,0,13,8,8,0,0,0,19,0,0,3,8,0,0,8,16,13,10,0,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Sean McClelland,,,1,1,,1,,,,,1,,,1,,1,,,,,1,1,1,1,,,,,,,,,10,http://bit.ly/1lmmqdP,11/12/15,,0,13,8,8,0,0,0,19,13,0,3,0,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Hal McCoy,,,1,,,,,,,,1,,,1,,,,1,1,,,1,,,,1,,,,,,,7,http://bit.ly/1mz3g5w,1/5/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,0,16,0,0,0,6,0,0,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Bernie Miklasz,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,,,,1,,1,,10,DM,12/17/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis ,,
Bruce Miles,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,1,,,,10,http://bit.ly/1ZuMeDf,12/26/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Jeff Miller (did not vote last 3 yrs),,,,1,,1,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,6,http://bit.ly/1NVeJTc,12/29/15,,0,0,8,8,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,8,0,0,72,72,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Randy Miller,,,1,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,1,,,6,http://bit.ly/1mciuwn,12/18/15,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,0,16,0,0,0,0,0,0,2,0,67,67,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Scott Miller,,,,,,,,,,,1,,,1,,1,,,1,,1,,1,,,,,,1,,,,7,http://ble.ac/1OKbFsw,1/5/16,,0,0,0,0,0,0,0,19,13,0,3,0,4,0,8,0,13,0,0,0,0,8,0,0,68,68,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,,
Roger Mooney,,,1,1,,1,,,,,1,,,,,,,1,1,,,1,1,1,,,,,1,,,,10,http://bit.ly/1Pm6WOq,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,8,4,0,0,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
Terence Moore,,,,,,,,,,,1,,,1,,,,,1,,,1,1,,1,1,,,,,,,7,http://atmlb.com/1kGljoj,1/4/16,,0,0,0,0,0,0,0,19,13,0,0,0,4,0,0,16,13,0,2,6,0,0,0,0,73,73,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,,
Aurelio Moreno,,,1,1,,1,,,,,1,,,,,,,1,,1,,1,,,,,1,,,,,,8,http://bit.ly/1lULIj6,12/11/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,2,0,16,0,0,0,0,1,0,0,0,75,75,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Jon Morosi,,,1,1,,1,,,,,1,,,,,,,1,,,1,,1,1,,,,,1,,1,,10,Sirius XM 12/31/15,1/1/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,0,13,10,0,0,0,8,0,3,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
Rick Morrissey ,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,3,http://bit.ly/1XfeerH,11/20/15,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,40,40,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Carrie Muskat,,,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,5,http://atmlb.com/1kGljoj,1/4/16,,0,0,8,8,0,0,0,19,0,0,0,0,0,0,0,0,13,0,0,0,0,8,0,0,56,56,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Mike Nadel,,,1,,,,,1,,,1,,,,,,,,,,1,1,1,1,,,,,1,,,,8,http://bit.ly/1QGFO2h,12/21/15,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Ross Newhan,,,1,,,,,,,,1,,,1,,1,,1,,,1,1,1,1,,,,,1,,,,10,http://on.fb.me/1MdQcqu,12/14/15,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Mark Newman,,,,1,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,5,http://atmlb.com/1kGljoj,1/4/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,64,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Bob Nightengale,,,1,1,,1,,,,,1,,,1,,,,,1,,,1,1,,1,,1,,,,,,10,http://usat.ly/1PdpqRi,1/5/16,,0,13,8,8,0,0,0,19,13,0,0,0,4,0,0,16,13,0,2,0,1,0,0,0,94,94,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,,
Marty Noble,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,2,http://atmlb.com/1kGljoj,1/4/16,,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Eric Nunez,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1Rk2fJw,1/3/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Ian O'Connor,,,1,1,,1,,,,,1,,,1,,,,,,,1,1,1,1,,1,,,,,,,10,http://bit.ly/1kDLRGX,1/1/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,New York/ESPN,,
Jorge Ortiz,,,1,,,,,,,,1,,,1,,1,,,,,,1,1,,,,,,,,,,6,http://usat.ly/1PdpqRi,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,0,0,0,0,16,13,0,0,0,0,0,0,0,77,77,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Jose de Jesus Ortiz,,,1,1,,1,,,,,1,,,1,,1,,,,,,1,1,,,1,,,,1,,,10,http://bit.ly/1Q0jEba,12/9/15,,0,13,8,8,0,0,0,19,13,0,3,0,0,0,0,16,13,0,0,6,0,0,2,0,96,96,,,,,,,,,,,,,,,,,,,,,,,,,Houston,,
