"Alan Trammell","BJ Surhoff","Barry Larkin","Bert Blyleven","Carlos Baerga","Dale Murphy","Dave Parker","Don Mattingly","Edgar Martinez","Fred McGriff","Harold Baines","Jack Morris","Jeff Bagwell","John Franco","John Olerud","Juan Gonzalez","Kevin Brown","Larry Walker","Lee Smith","Mark McGwire","Rafael Palmeiro","Roberto Alomar","Tim Raines","Tino Martinez","timestamp"
"John Shea","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"John Tomase","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Jon Heyman","0","0","1","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Ken Davidoff","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","1","1","0","0"
"Ken Gurnick","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Ken Rosenthal","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"La Velle E Neal","0","0","1","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0"
"Larry Larue","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
"Larry Stone","1","0","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","1","0","1","1","0","0"
"Lyle Spencer","1","0","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0"
"Marc Topkin","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0"
"Mark Gonzales","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Mark Kreidler","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Mark Newman","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0"
"Mark Saxon","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"Marty Noble","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Mel Antonen","1","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0"
"Michael Hunt","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Michael Knisley","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Michael Silverman","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0"
"Mike Bass","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Mike Bauman","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Mike Dodd","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Mike Dyer","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"Mike Fine","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","1","0","0","0"
"Mike Hart","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Mike Puma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Nick Cafardo","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Paul Daugherty","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Paul Ladewski","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Paul Sullivan","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"Pedro Gomez","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Peter Abraham","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Peter Botte","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Peter Pascarelli","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Phil Arvia","0","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Phil Rogers","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0"
"Philip Hersh","1","0","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0"
"Richard Griffin","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0"
"Richard Justice","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
"Rick Telander","1","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"Rob Parker","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0"
"Rob Rains","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Ron Chimelis","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Scott Miller","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Seth Livingstone","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","1","1","0","0"
"Stan McNeal","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0"
"Steven Marcus","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"TR Sullivan","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","1","1","0","0"
"Teddy Greenstein","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"Terence Moore","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Terry Pluto","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Tim Cowlishaw","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Tim Kurkjian","1","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0"
"Tom Dienhart","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0"
"Tom Haudricourt","0","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0"
"Tom Keegan","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Tom Pedulla","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Tom Powers","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Tom Singer","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0"
"Tony DeMarco","1","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0"
"Tony Jackson","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Tony Massarotti","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Tracy Ringolsby","1","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","0","0"
