voter,year,timestamp,player,value
Mike Nadel,2009,0,Jack Morris,1
Murray Chass,2009,0,Jack Morris,1
Paul Sullivan,2009,0,Jack Morris,0
Pedro Gomez,2009,0,Jack Morris,0
Peter Gammons,2009,0,Jack Morris,1
Phil Arvia,2009,0,Jack Morris,1
Phil Hersh,2009,0,Jack Morris,0
Phil Pepe,2009,0,Jack Morris,0
Phil Rogers,2009,0,Jack Morris,1
Pierre Ladouceur,2009,0,Jack Morris,0
Richard Griffen,2009,0,Jack Morris,1
Rick Telander,2009,0,Jack Morris,0
Scott Miller,2009,0,Jack Morris,1
Sean Hogan,2009,0,Jack Morris,0
Steve Aschburner,2009,0,Jack Morris,1
Steve Buckley,2009,0,Jack Morris,1
Steve Wilmoth,2009,0,Jack Morris,0
TJ Quinn,2009,0,Jack Morris,1
TR Sullivan,2009,0,Jack Morris,1
Teddy Greenstein,2009,0,Jack Morris,0
Tim Cowlishaw,2009,0,Jack Morris,0
Tim Kurkjian,2009,0,Jack Morris,1
Tracy Ringolsby,2009,0,Jack Morris,1
Bill Conlin,2009,0,Lee Smith,0
Bob Hille,2009,0,Lee Smith,1
Bob Ryan,2009,0,Lee Smith,0
Bob Verdi,2009,0,Lee Smith,1
Brendan Roberts,2009,0,Lee Smith,1
Bruce Jenkins,2009,0,Lee Smith,0
Buster Olney,2009,0,Lee Smith,0
Carl Steward,2009,0,Lee Smith,0
Carter Gaddis,2009,0,Lee Smith,1
Chris Elsburry,2009,0,Lee Smith,1
Corky Simpson,2009,0,Lee Smith,0
Dan Graziano,2009,0,Lee Smith,0
Dan McGrath,2009,0,Lee Smith,0
Dave Kindred,2009,0,Lee Smith,1
Dave Van Dyck,2009,0,Lee Smith,1
Filip Bondy,2009,0,Lee Smith,0
Fred Mitchell,2009,0,Lee Smith,1
Garry Brown,2009,0,Lee Smith,0
Hal McCoy,2009,0,Lee Smith,0
Howard Bryant,2009,0,Lee Smith,0
Jack McCaffery,2009,0,Lee Smith,1
Jayson Stark,2009,0,Lee Smith,0
Jeff Jacobs,2009,0,Lee Smith,0
Jerry Crasnick,2009,0,Lee Smith,0
Jim Caple,2009,0,Lee Smith,0
Jim Capozzi,2009,0,Lee Smith,0
Jim Hawkins,2009,0,Lee Smith,0
Jim Salisbury,2009,0,Lee Smith,1
Joe Henderson,2009,0,Lee Smith,1
Joe Posnanski,2009,0,Lee Smith,0
John Perrotto,2009,0,Lee Smith,0
Jose de Jesus Ortiz,2009,0,Lee Smith,0
Ken Davidoff,2009,0,Lee Smith,0
Ken Rosenthal,2009,0,Lee Smith,1
Marc Topkin,2009,0,Lee Smith,0
Mark Gonzales,2009,0,Lee Smith,0
Michael Knisley,2009,0,Lee Smith,1
Mike Nadel,2009,0,Lee Smith,0
Murray Chass,2009,0,Lee Smith,0
Paul Sullivan,2009,0,Lee Smith,1
Pedro Gomez,2009,0,Lee Smith,1
Peter Gammons,2009,0,Lee Smith,0
Phil Arvia,2009,0,Lee Smith,1
Phil Hersh,2009,0,Lee Smith,1
Phil Pepe,2009,0,Lee Smith,0
Phil Rogers,2009,0,Lee Smith,0
Pierre Ladouceur,2009,0,Lee Smith,1
Richard Griffen,2009,0,Lee Smith,0
Rick Telander,2009,0,Lee Smith,1
Scott Miller,2009,0,Lee Smith,0
Sean Hogan,2009,0,Lee Smith,0
Steve Aschburner,2009,0,Lee Smith,0
Steve Buckley,2009,0,Lee Smith,0
Steve Wilmoth,2009,0,Lee Smith,0
TJ Quinn,2009,0,Lee Smith,0
TR Sullivan,2009,0,Lee Smith,0
Teddy Greenstein,2009,0,Lee Smith,1
Tim Cowlishaw,2009,0,Lee Smith,0
Tim Kurkjian,2009,0,Lee Smith,1
Tracy Ringolsby,2009,0,Lee Smith,1
Bill Conlin,2009,0,Bert Blyleven,1
Bob Hille,2009,0,Bert Blyleven,0
Bob Ryan,2009,0,Bert Blyleven,1
Bob Verdi,2009,0,Bert Blyleven,1
Brendan Roberts,2009,0,Bert Blyleven,1
Bruce Jenkins,2009,0,Bert Blyleven,0
Buster Olney,2009,0,Bert Blyleven,0
Carl Steward,2009,0,Bert Blyleven,1
Carter Gaddis,2009,0,Bert Blyleven,1
Chris Elsburry,2009,0,Bert Blyleven,1
Corky Simpson,2009,0,Bert Blyleven,1
Dan Graziano,2009,0,Bert Blyleven,1
Dan McGrath,2009,0,Bert Blyleven,1
Dave Kindred,2009,0,Bert Blyleven,0
Dave Van Dyck,2009,0,Bert Blyleven,0
Filip Bondy,2009,0,Bert Blyleven,0
Fred Mitchell,2009,0,Bert Blyleven,1
Garry Brown,2009,0,Bert Blyleven,1
Hal McCoy,2009,0,Bert Blyleven,1
Howard Bryant,2009,0,Bert Blyleven,1
Jack McCaffery,2009,0,Bert Blyleven,1
Jayson Stark,2009,0,Bert Blyleven,1
Jeff Jacobs,2009,0,Bert Blyleven,1
Jerry Crasnick,2009,0,Bert Blyleven,1
Jim Caple,2009,0,Bert Blyleven,1
Jim Capozzi,2009,0,Bert Blyleven,1
Jim Hawkins,2009,0,Bert Blyleven,1
Jim Salisbury,2009,0,Bert Blyleven,1
Joe Henderson,2009,0,Bert Blyleven,1
Joe Posnanski,2009,0,Bert Blyleven,1
John Perrotto,2009,0,Bert Blyleven,1
Jose de Jesus Ortiz,2009,0,Bert Blyleven,0
Ken Davidoff,2009,0,Bert Blyleven,1
Ken Rosenthal,2009,0,Bert Blyleven,1
Marc Topkin,2009,0,Bert Blyleven,0
Mark Gonzales,2009,0,Bert Blyleven,1
Michael Knisley,2009,0,Bert Blyleven,0
Mike Nadel,2009,0,Bert Blyleven,0
Murray Chass,2009,0,Bert Blyleven,0
Paul Sullivan,2009,0,Bert Blyleven,0
Pedro Gomez,2009,0,Bert Blyleven,0
Peter Gammons,2009,0,Bert Blyleven,1
Phil Arvia,2009,0,Bert Blyleven,1
Phil Hersh,2009,0,Bert Blyleven,0
Phil Pepe,2009,0,Bert Blyleven,1
Phil Rogers,2009,0,Bert Blyleven,1
Pierre Ladouceur,2009,0,Bert Blyleven,1
Richard Griffen,2009,0,Bert Blyleven,0
Rick Telander,2009,0,Bert Blyleven,0
Scott Miller,2009,0,Bert Blyleven,1
Sean Hogan,2009,0,Bert Blyleven,1
Steve Aschburner,2009,0,Bert Blyleven,1
Steve Buckley,2009,0,Bert Blyleven,1
Steve Wilmoth,2009,0,Bert Blyleven,0
TJ Quinn,2009,0,Bert Blyleven,1
TR Sullivan,2009,0,Bert Blyleven,1
Teddy Greenstein,2009,0,Bert Blyleven,1
Tim Cowlishaw,2009,0,Bert Blyleven,1
Tim Kurkjian,2009,0,Bert Blyleven,1
Tracy Ringolsby,2009,0,Bert Blyleven,1
Bill Conlin,2009,0,Jim Rice,1
Bob Hille,2009,0,Jim Rice,1
Bob Ryan,2009,0,Jim Rice,1
Bob Verdi,2009,0,Jim Rice,1
Brendan Roberts,2009,0,Jim Rice,0
Bruce Jenkins,2009,0,Jim Rice,1
Buster Olney,2009,0,Jim Rice,1
Carl Steward,2009,0,Jim Rice,0
Carter Gaddis,2009,0,Jim Rice,1
Chris Elsburry,2009,0,Jim Rice,1
Corky Simpson,2009,0,Jim Rice,0
Dan Graziano,2009,0,Jim Rice,0
Dan McGrath,2009,0,Jim Rice,1
Dave Kindred,2009,0,Jim Rice,1
Dave Van Dyck,2009,0,Jim Rice,0
Filip Bondy,2009,0,Jim Rice,0
Fred Mitchell,2009,0,Jim Rice,1
Garry Brown,2009,0,Jim Rice,1
Hal McCoy,2009,0,Jim Rice,1
Howard Bryant,2009,0,Jim Rice,1
Jack McCaffery,2009,0,Jim Rice,1
Jayson Stark,2009,0,Jim Rice,1
Jeff Jacobs,2009,0,Jim Rice,1
Jerry Crasnick,2009,0,Jim Rice,1
Jim Caple,2009,0,Jim Rice,1
Jim Capozzi,2009,0,Jim Rice,0
Jim Hawkins,2009,0,Jim Rice,1
Jim Salisbury,2009,0,Jim Rice,1
Joe Henderson,2009,0,Jim Rice,1
Joe Posnanski,2009,0,Jim Rice,0
John Perrotto,2009,0,Jim Rice,0
Jose de Jesus Ortiz,2009,0,Jim Rice,1
Ken Davidoff,2009,0,Jim Rice,0
Ken Rosenthal,2009,0,Jim Rice,1
Marc Topkin,2009,0,Jim Rice,1
Mark Gonzales,2009,0,Jim Rice,1
Michael Knisley,2009,0,Jim Rice,0
Mike Nadel,2009,0,Jim Rice,1
Murray Chass,2009,0,Jim Rice,1
Paul Sullivan,2009,0,Jim Rice,0
Pedro Gomez,2009,0,Jim Rice,1
Peter Gammons,2009,0,Jim Rice,1
Phil Arvia,2009,0,Jim Rice,1
Phil Hersh,2009,0,Jim Rice,1
Phil Pepe,2009,0,Jim Rice,1
Phil Rogers,2009,0,Jim Rice,1
Pierre Ladouceur,2009,0,Jim Rice,1
Richard Griffen,2009,0,Jim Rice,1
Rick Telander,2009,0,Jim Rice,1
Scott Miller,2009,0,Jim Rice,1
Sean Hogan,2009,0,Jim Rice,1
Steve Aschburner,2009,0,Jim Rice,0
Steve Buckley,2009,0,Jim Rice,1
Steve Wilmoth,2009,0,Jim Rice,1
TJ Quinn,2009,0,Jim Rice,1
TR Sullivan,2009,0,Jim Rice,1
Teddy Greenstein,2009,0,Jim Rice,1
Tim Cowlishaw,2009,0,Jim Rice,1
Tim Kurkjian,2009,0,Jim Rice,1
Tracy Ringolsby,2009,0,Jim Rice,0
Bill Conlin,2009,0,Don Mattingly,0
Bob Hille,2009,0,Don Mattingly,0
Bob Ryan,2009,0,Don Mattingly,0
Bob Verdi,2009,0,Don Mattingly,0
Brendan Roberts,2009,0,Don Mattingly,0
Bruce Jenkins,2009,0,Don Mattingly,1
Buster Olney,2009,0,Don Mattingly,0
Carl Steward,2009,0,Don Mattingly,0
Carter Gaddis,2009,0,Don Mattingly,0
Chris Elsburry,2009,0,Don Mattingly,0
Corky Simpson,2009,0,Don Mattingly,1
Dan Graziano,2009,0,Don Mattingly,0
Dan McGrath,2009,0,Don Mattingly,0
Dave Kindred,2009,0,Don Mattingly,0
Dave Van Dyck,2009,0,Don Mattingly,0
Filip Bondy,2009,0,Don Mattingly,0
Fred Mitchell,2009,0,Don Mattingly,0
Garry Brown,2009,0,Don Mattingly,0
Hal McCoy,2009,0,Don Mattingly,0
Howard Bryant,2009,0,Don Mattingly,0
Jack McCaffery,2009,0,Don Mattingly,0
Jayson Stark,2009,0,Don Mattingly,0
Jeff Jacobs,2009,0,Don Mattingly,0
Jerry Crasnick,2009,0,Don Mattingly,0
Jim Caple,2009,0,Don Mattingly,0
Jim Capozzi,2009,0,Don Mattingly,0
Jim Hawkins,2009,0,Don Mattingly,0
Jim Salisbury,2009,0,Don Mattingly,0
Joe Henderson,2009,0,Don Mattingly,0
Joe Posnanski,2009,0,Don Mattingly,0
John Perrotto,2009,0,Don Mattingly,0
Jose de Jesus Ortiz,2009,0,Don Mattingly,0
Ken Davidoff,2009,0,Don Mattingly,0
Ken Rosenthal,2009,0,Don Mattingly,0
Marc Topkin,2009,0,Don Mattingly,0
Mark Gonzales,2009,0,Don Mattingly,0
Michael Knisley,2009,0,Don Mattingly,0
Mike Nadel,2009,0,Don Mattingly,0
Murray Chass,2009,0,Don Mattingly,0
Paul Sullivan,2009,0,Don Mattingly,0
Pedro Gomez,2009,0,Don Mattingly,0
Peter Gammons,2009,0,Don Mattingly,0
Phil Arvia,2009,0,Don Mattingly,0
Phil Hersh,2009,0,Don Mattingly,1
Phil Pepe,2009,0,Don Mattingly,0
Phil Rogers,2009,0,Don Mattingly,0
Pierre Ladouceur,2009,0,Don Mattingly,0
Richard Griffen,2009,0,Don Mattingly,0
Rick Telander,2009,0,Don Mattingly,0
Scott Miller,2009,0,Don Mattingly,0
Sean Hogan,2009,0,Don Mattingly,0
Steve Aschburner,2009,0,Don Mattingly,0
Steve Buckley,2009,0,Don Mattingly,0
Steve Wilmoth,2009,0,Don Mattingly,0
TJ Quinn,2009,0,Don Mattingly,0
TR Sullivan,2009,0,Don Mattingly,0
Teddy Greenstein,2009,0,Don Mattingly,1
Tim Cowlishaw,2009,0,Don Mattingly,0
Tim Kurkjian,2009,0,Don Mattingly,0
Tracy Ringolsby,2009,0,Don Mattingly,0
Bill Conlin,2009,0,Dale Murphy,0
Bob Hille,2009,0,Dale Murphy,0
Bob Ryan,2009,0,Dale Murphy,0
Bob Verdi,2009,0,Dale Murphy,0
Brendan Roberts,2009,0,Dale Murphy,0
Bruce Jenkins,2009,0,Dale Murphy,0
Buster Olney,2009,0,Dale Murphy,0
Carl Steward,2009,0,Dale Murphy,0
Carter Gaddis,2009,0,Dale Murphy,1
Chris Elsburry,2009,0,Dale Murphy,0
Corky Simpson,2009,0,Dale Murphy,0
Dan Graziano,2009,0,Dale Murphy,0
Dan McGrath,2009,0,Dale Murphy,0
Dave Kindred,2009,0,Dale Murphy,1
Dave Van Dyck,2009,0,Dale Murphy,0
Filip Bondy,2009,0,Dale Murphy,0
Fred Mitchell,2009,0,Dale Murphy,0
Garry Brown,2009,0,Dale Murphy,0
Hal McCoy,2009,0,Dale Murphy,0
Howard Bryant,2009,0,Dale Murphy,0
Jack McCaffery,2009,0,Dale Murphy,0
Jayson Stark,2009,0,Dale Murphy,1
Jeff Jacobs,2009,0,Dale Murphy,0
Jerry Crasnick,2009,0,Dale Murphy,0
Jim Caple,2009,0,Dale Murphy,0
Jim Capozzi,2009,0,Dale Murphy,0
Jim Hawkins,2009,0,Dale Murphy,0
Jim Salisbury,2009,0,Dale Murphy,0
Joe Henderson,2009,0,Dale Murphy,0
Joe Posnanski,2009,0,Dale Murphy,1
John Perrotto,2009,0,Dale Murphy,0
Jose de Jesus Ortiz,2009,0,Dale Murphy,1
Ken Davidoff,2009,0,Dale Murphy,0
Ken Rosenthal,2009,0,Dale Murphy,0
Marc Topkin,2009,0,Dale Murphy,0
Mark Gonzales,2009,0,Dale Murphy,0
Michael Knisley,2009,0,Dale Murphy,0
Mike Nadel,2009,0,Dale Murphy,0
Murray Chass,2009,0,Dale Murphy,0
Paul Sullivan,2009,0,Dale Murphy,0
Pedro Gomez,2009,0,Dale Murphy,0
Peter Gammons,2009,0,Dale Murphy,0
Phil Arvia,2009,0,Dale Murphy,0
Phil Hersh,2009,0,Dale Murphy,0
Phil Pepe,2009,0,Dale Murphy,0
Phil Rogers,2009,0,Dale Murphy,0
Pierre Ladouceur,2009,0,Dale Murphy,0
Richard Griffen,2009,0,Dale Murphy,0
Rick Telander,2009,0,Dale Murphy,0
Scott Miller,2009,0,Dale Murphy,0
Sean Hogan,2009,0,Dale Murphy,0
Steve Aschburner,2009,0,Dale Murphy,0
Steve Buckley,2009,0,Dale Murphy,0
Steve Wilmoth,2009,0,Dale Murphy,0
TJ Quinn,2009,0,Dale Murphy,1
TR Sullivan,2009,0,Dale Murphy,0
Teddy Greenstein,2009,0,Dale Murphy,0
Tim Cowlishaw,2009,0,Dale Murphy,0
Tim Kurkjian,2009,0,Dale Murphy,0
Tracy Ringolsby,2009,0,Dale Murphy,0
Bill Conlin,2009,0,Andre Dawson,1
Bob Hille,2009,0,Andre Dawson,1
Bob Ryan,2009,0,Andre Dawson,1
Bob Verdi,2009,0,Andre Dawson,1
Brendan Roberts,2009,0,Andre Dawson,0
Bruce Jenkins,2009,0,Andre Dawson,0
Buster Olney,2009,0,Andre Dawson,1
Carl Steward,2009,0,Andre Dawson,1
Carter Gaddis,2009,0,Andre Dawson,0
Chris Elsburry,2009,0,Andre Dawson,1
Corky Simpson,2009,0,Andre Dawson,1
Dan Graziano,2009,0,Andre Dawson,0
Dan McGrath,2009,0,Andre Dawson,1
Dave Kindred,2009,0,Andre Dawson,1
Dave Van Dyck,2009,0,Andre Dawson,1
Filip Bondy,2009,0,Andre Dawson,0
Fred Mitchell,2009,0,Andre Dawson,1
Garry Brown,2009,0,Andre Dawson,1
Hal McCoy,2009,0,Andre Dawson,1
Howard Bryant,2009,0,Andre Dawson,1
Jack McCaffery,2009,0,Andre Dawson,1
Jayson Stark,2009,0,Andre Dawson,1
Jeff Jacobs,2009,0,Andre Dawson,0
Jerry Crasnick,2009,0,Andre Dawson,1
Jim Caple,2009,0,Andre Dawson,1
Jim Capozzi,2009,0,Andre Dawson,1
Jim Hawkins,2009,0,Andre Dawson,1
Jim Salisbury,2009,0,Andre Dawson,1
Joe Henderson,2009,0,Andre Dawson,1
Joe Posnanski,2009,0,Andre Dawson,0
John Perrotto,2009,0,Andre Dawson,1
Jose de Jesus Ortiz,2009,0,Andre Dawson,1
Ken Davidoff,2009,0,Andre Dawson,0
Ken Rosenthal,2009,0,Andre Dawson,1
Marc Topkin,2009,0,Andre Dawson,1
Mark Gonzales,2009,0,Andre Dawson,0
Michael Knisley,2009,0,Andre Dawson,0
Mike Nadel,2009,0,Andre Dawson,1
Murray Chass,2009,0,Andre Dawson,0
Paul Sullivan,2009,0,Andre Dawson,1
Pedro Gomez,2009,0,Andre Dawson,1
Peter Gammons,2009,0,Andre Dawson,0
Phil Arvia,2009,0,Andre Dawson,1
Phil Hersh,2009,0,Andre Dawson,1
Phil Pepe,2009,0,Andre Dawson,0
Phil Rogers,2009,0,Andre Dawson,1
Pierre Ladouceur,2009,0,Andre Dawson,1
Richard Griffen,2009,0,Andre Dawson,1
Rick Telander,2009,0,Andre Dawson,1
Scott Miller,2009,0,Andre Dawson,1
Sean Hogan,2009,0,Andre Dawson,1
Steve Aschburner,2009,0,Andre Dawson,1
Steve Buckley,2009,0,Andre Dawson,0
Steve Wilmoth,2009,0,Andre Dawson,1
TJ Quinn,2009,0,Andre Dawson,1
TR Sullivan,2009,0,Andre Dawson,1
Teddy Greenstein,2009,0,Andre Dawson,1
Tim Cowlishaw,2009,0,Andre Dawson,1
Tim Kurkjian,2009,0,Andre Dawson,1
Tracy Ringolsby,2009,0,Andre Dawson,0
Bill Conlin,2009,0,Rickey Henderson,1
Bob Hille,2009,0,Rickey Henderson,1
Bob Ryan,2009,0,Rickey Henderson,1
Bob Verdi,2009,0,Rickey Henderson,1
Brendan Roberts,2009,0,Rickey Henderson,1
Bruce Jenkins,2009,0,Rickey Henderson,1
Buster Olney,2009,0,Rickey Henderson,1
Carl Steward,2009,0,Rickey Henderson,1
Carter Gaddis,2009,0,Rickey Henderson,1
Chris Elsburry,2009,0,Rickey Henderson,1
Corky Simpson,2009,0,Rickey Henderson,0
Dan Graziano,2009,0,Rickey Henderson,1
Dan McGrath,2009,0,Rickey Henderson,1
Dave Kindred,2009,0,Rickey Henderson,1
Dave Van Dyck,2009,0,Rickey Henderson,1
Filip Bondy,2009,0,Rickey Henderson,1
Fred Mitchell,2009,0,Rickey Henderson,1
Garry Brown,2009,0,Rickey Henderson,1
Hal McCoy,2009,0,Rickey Henderson,1
Howard Bryant,2009,0,Rickey Henderson,1
Jack McCaffery,2009,0,Rickey Henderson,1
Jayson Stark,2009,0,Rickey Henderson,1
Jeff Jacobs,2009,0,Rickey Henderson,1
Jerry Crasnick,2009,0,Rickey Henderson,1
Jim Caple,2009,0,Rickey Henderson,1
Jim Capozzi,2009,0,Rickey Henderson,1
Jim Hawkins,2009,0,Rickey Henderson,1
Jim Salisbury,2009,0,Rickey Henderson,1
Joe Henderson,2009,0,Rickey Henderson,1
Joe Posnanski,2009,0,Rickey Henderson,1
John Perrotto,2009,0,Rickey Henderson,1
Jose de Jesus Ortiz,2009,0,Rickey Henderson,1
Ken Davidoff,2009,0,Rickey Henderson,1
Ken Rosenthal,2009,0,Rickey Henderson,1
Marc Topkin,2009,0,Rickey Henderson,1
Mark Gonzales,2009,0,Rickey Henderson,1
Michael Knisley,2009,0,Rickey Henderson,1
Mike Nadel,2009,0,Rickey Henderson,1
Murray Chass,2009,0,Rickey Henderson,1
Paul Sullivan,2009,0,Rickey Henderson,1
Pedro Gomez,2009,0,Rickey Henderson,1
Peter Gammons,2009,0,Rickey Henderson,1
Phil Arvia,2009,0,Rickey Henderson,1
Phil Hersh,2009,0,Rickey Henderson,1
Phil Pepe,2009,0,Rickey Henderson,1
Phil Rogers,2009,0,Rickey Henderson,1
Pierre Ladouceur,2009,0,Rickey Henderson,1
Richard Griffen,2009,0,Rickey Henderson,1
Rick Telander,2009,0,Rickey Henderson,1
Scott Miller,2009,0,Rickey Henderson,1
Sean Hogan,2009,0,Rickey Henderson,1
Steve Aschburner,2009,0,Rickey Henderson,1
Steve Buckley,2009,0,Rickey Henderson,1
Steve Wilmoth,2009,0,Rickey Henderson,1
TJ Quinn,2009,0,Rickey Henderson,1
TR Sullivan,2009,0,Rickey Henderson,1
Teddy Greenstein,2009,0,Rickey Henderson,1
Tim Cowlishaw,2009,0,Rickey Henderson,1
Tim Kurkjian,2009,0,Rickey Henderson,1
Tracy Ringolsby,2009,0,Rickey Henderson,1
Bill Conlin,2009,0,Tim Raines,0
Bob Hille,2009,0,Tim Raines,0
Bob Ryan,2009,0,Tim Raines,0
Bob Verdi,2009,0,Tim Raines,0
Brendan Roberts,2009,0,Tim Raines,1
Bruce Jenkins,2009,0,Tim Raines,0
Buster Olney,2009,0,Tim Raines,0
Carl Steward,2009,0,Tim Raines,1
Carter Gaddis,2009,0,Tim Raines,0
Chris Elsburry,2009,0,Tim Raines,0
Corky Simpson,2009,0,Tim Raines,0
Dan Graziano,2009,0,Tim Raines,1
Dan McGrath,2009,0,Tim Raines,0
Dave Kindred,2009,0,Tim Raines,0
Dave Van Dyck,2009,0,Tim Raines,0
Filip Bondy,2009,0,Tim Raines,0
Fred Mitchell,2009,0,Tim Raines,1
Garry Brown,2009,0,Tim Raines,0
Hal McCoy,2009,0,Tim Raines,1
Howard Bryant,2009,0,Tim Raines,0
Jack McCaffery,2009,0,Tim Raines,0
Jayson Stark,2009,0,Tim Raines,1
Jeff Jacobs,2009,0,Tim Raines,0
Jerry Crasnick,2009,0,Tim Raines,1
Jim Caple,2009,0,Tim Raines,0
Jim Capozzi,2009,0,Tim Raines,0
Jim Hawkins,2009,0,Tim Raines,0
Jim Salisbury,2009,0,Tim Raines,1
Joe Henderson,2009,0,Tim Raines,1
Joe Posnanski,2009,0,Tim Raines,1
John Perrotto,2009,0,Tim Raines,1
Jose de Jesus Ortiz,2009,0,Tim Raines,0
Ken Davidoff,2009,0,Tim Raines,1
Ken Rosenthal,2009,0,Tim Raines,1
Marc Topkin,2009,0,Tim Raines,1
Mark Gonzales,2009,0,Tim Raines,0
Michael Knisley,2009,0,Tim Raines,0
Mike Nadel,2009,0,Tim Raines,0
Murray Chass,2009,0,Tim Raines,0
Paul Sullivan,2009,0,Tim Raines,1
Pedro Gomez,2009,0,Tim Raines,0
Peter Gammons,2009,0,Tim Raines,1
Phil Arvia,2009,0,Tim Raines,0
Phil Hersh,2009,0,Tim Raines,0
Phil Pepe,2009,0,Tim Raines,0
Phil Rogers,2009,0,Tim Raines,1
Pierre Ladouceur,2009,0,Tim Raines,1
Richard Griffen,2009,0,Tim Raines,1
Rick Telander,2009,0,Tim Raines,0
Scott Miller,2009,0,Tim Raines,1
Sean Hogan,2009,0,Tim Raines,0
Steve Aschburner,2009,0,Tim Raines,0
Steve Buckley,2009,0,Tim Raines,0
Steve Wilmoth,2009,0,Tim Raines,0
TJ Quinn,2009,0,Tim Raines,1
TR Sullivan,2009,0,Tim Raines,1
Teddy Greenstein,2009,0,Tim Raines,0
Tim Cowlishaw,2009,0,Tim Raines,1
Tim Kurkjian,2009,0,Tim Raines,1
